TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,SD,@NYG,SF,BYE,@DEN,WSH,@OAK,PHI,@DAL,STL,DET,@SEA,@ATL,KC,@STL,SEA,@SF
ATL,NO,@CIN,TB,@MIN,@NYG,CHI,@BAL,DET,BYE,@TB,@CAR,CLE,ARI,@GB,PIT,@NO,CAR
BAL,CIN,PIT,@CLE,CAR,@IND,@TB,ATL,@CIN,@PIT,TEN,BYE,@NO,SD,@MIA,JAX,@HOU,CLE
BUF,@CHI,MIA,SD,@HOU,@DET,NE,MIN,@NYJ,BYE,KC,@MIA,NYJ,CLE,@DEN,GB,@OAK,@NE
CAR,@TB,DET,PIT,@BAL,CHI,@CIN,@GB,SEA,NO,@PHI,ATL,BYE,@MIN,@NO,TB,CLE,@ATL
CHI,BUF,@SF,@NYJ,GB,@CAR,@ATL,MIA,@NE,BYE,@GB,MIN,TB,@DET,DAL,NO,DET,@MIN
CIN,@BAL,ATL,TEN,BYE,@NE,CAR,@IND,BAL,JAX,CLE,@NO,@HOU,@TB,PIT,@CLE,DEN,@PIT
CLE,@PIT,NO,BAL,BYE,@TEN,PIT,@JAX,OAK,TB,@CIN,HOU,@ATL,@BUF,IND,CIN,@CAR,@BAL
DAL,SF,@TEN,@STL,NO,HOU,@SEA,NYG,WSH,ARI,@JAX,BYE,@NYG,PHI,@CHI,@PHI,IND,@WSH
DEN,IND,KC,@SEA,BYE,ARI,@NYJ,SF,SD,@NE,@OAK,@STL,MIA,@KC,BUF,@SD,@CIN,OAK
DET,NYG,@CAR,GB,@NYJ,BUF,@MIN,NO,@ATL,BYE,MIA,@ARI,@NE,CHI,TB,MIN,@CHI,@GB
GB,@SEA,NYJ,@DET,@CHI,MIN,@MIA,CAR,@NO,BYE,CHI,PHI,@MIN,NE,ATL,@BUF,@TB,DET
HOU,WSH,@OAK,@NYG,BUF,@DAL,IND,@PIT,@TEN,PHI,BYE,@CLE,CIN,TEN,@JAX,@IND,BAL,JAX
IND,@DEN,PHI,@JAX,TEN,BAL,@HOU,CIN,@PIT,@NYG,BYE,NE,JAX,WSH,@CLE,HOU,@DAL,@TEN
JAX,@PHI,@WSH,IND,@SD,PIT,@TEN,CLE,MIA,@CIN,DAL,BYE,@IND,NYG,HOU,@BAL,TEN,@HOU
KC,TEN,@DEN,@MIA,NE,@SF,BYE,@SD,STL,NYJ,@BUF,SEA,@OAK,DEN,@ARI,OAK,@PIT,SD
MIA,NE,@BUF,KC,@OAK,BYE,GB,@CHI,@JAX,SD,@DET,BUF,@DEN,@NYJ,BAL,@NE,MIN,NYJ
MIN,@STL,NE,@NO,ATL,@GB,DET,@BUF,@TB,WSH,BYE,@CHI,GB,CAR,NYJ,@DET,@MIA,CHI
NE,@MIA,@MIN,OAK,@KC,CIN,@BUF,NYJ,CHI,DEN,BYE,@IND,DET,@GB,@SD,MIA,@NYJ,BUF
NO,@ATL,@CLE,MIN,@DAL,TB,BYE,@DET,GB,@CAR,SF,CIN,BAL,@PIT,CAR,@CHI,ATL,@TB
NYG,@DET,ARI,HOU,@WSH,ATL,@PHI,@DAL,BYE,IND,@SEA,SF,DAL,@JAX,@TEN,WSH,@STL,PHI
NYJ,OAK,@GB,CHI,DET,@SD,DEN,@NE,BUF,@KC,PIT,BYE,@BUF,MIA,@MIN,@TEN,NE,@MIA
OAK,@NYJ,HOU,@NE,MIA,BYE,SD,ARI,@CLE,@SEA,DEN,@SD,KC,@STL,SF,@KC,BUF,@DEN
PHI,JAX,@IND,WSH,@SF,STL,NYG,BYE,@ARI,@HOU,CAR,@GB,TEN,@DAL,SEA,DAL,@WSH,@NYG
PIT,CLE,@BAL,@CAR,TB,@JAX,@CLE,HOU,IND,BAL,@NYJ,@TEN,BYE,NO,@CIN,@ATL,KC,CIN
SD,@ARI,SEA,@BUF,JAX,NYJ,@OAK,KC,@DEN,@MIA,BYE,OAK,STL,@BAL,NE,DEN,@SF,@KC
SF,@DAL,CHI,@ARI,PHI,KC,@STL,@DEN,BYE,STL,@NO,@NYG,WSH,SEA,@OAK,@SEA,SD,ARI
SEA,GB,@SD,DEN,BYE,@WSH,DAL,@STL,@CAR,OAK,NYG,@KC,ARI,@SF,@PHI,SF,@ARI,STL
STL,MIN,@TB,DAL,BYE,@PHI,SF,SEA,@KC,@SF,@ARI,DEN,@SD,OAK,@WSH,ARI,NYG,@SEA
TB,CAR,STL,@ATL,@PIT,@NO,BAL,BYE,MIN,@CLE,ATL,@WSH,@CHI,CIN,@DET,@CAR,GB,NO
TEN,@KC,DAL,@CIN,@IND,CLE,JAX,@WSH,HOU,BYE,@BAL,PIT,@PHI,@HOU,NYG,NYJ,@JAX,IND
WSH,@HOU,JAX,@PHI,NYG,SEA,@ARI,TEN,@DAL,@MIN,BYE,TB,@SF,@IND,STL,@NYG,PHI,DAL
